ISO3,t,x,y,z,dx,dy,dz
GRD,2017,0.21963739150792058,0.10278242623405671,3.989068156662267,-0.003323401287660094,0.0017050029061051464,0.014522527097022842
GRD,2018,0.2163139902202605,0.10448742914016186,4.00359068375929,-0.0027984468273895557,0.0019725102574399273,0.016056946072025013
GRD,2019,0.21351554339287093,0.10645993939760179,4.019647629831315,-0.0028478204023261455,0.0022409544590711455,-0.06692496511762025
GRD,2020,0.2106677229905448,0.10870089385667293,3.952722664713695,-0.003325329634561447,0.0023101223072310995,0.030553543048133402
GRD,2021,0.20734239335598334,0.11101101616390403,3.9832762077618282,-0.003325923432426242,0.0025321574636737315,0.03937724862383796
GRD,2022,0.2040164699235571,0.11354317362757776,4.022653456385666,-0.003626749650411043,0.003338722327365082,0.030743381929662306
GRD,2023,0.20038972027314605,0.11688189595494285,4.0533968383153285,,,0.02111284482639597
GRD,2024,,,4.0745096831417245,,,
GRL,1950,0.4192873943723323,0.019078316926561558,,-0.00021582269408521038,0.00010408641543938058,
GRL,1951,0.4190715716782471,0.01918240334200094,,-0.0024817099270950105,0.00042379690936060477,
GRL,1952,0.4165898617511521,0.019606200251361543,,0.0016632635041790578,-0.00028272611131743147,
GRL,1953,0.41825312525533115,0.019323474140044112,,0.0028623175006558532,-0.00026865673213576427,
GRL,1954,0.421115442755987,0.019054817407908348,,0.003953204032116853,-0.0008779214029580387,
GRL,1955,0.42506864678810385,0.01817689600495031,,0.003561716248199842,-0.0002501033256823819,
GRL,1956,0.4286303630363037,0.017926792679267927,,0.0006786123409797673,0.000702711256034258,
GRL,1957,0.42930897537728346,0.018629503935302185,,0.001205143820662724,0.0006586387136952448,
GRL,1958,0.4305141191979462,0.01928814264899743,,0.0025585808519622,0.0002094451067836331,
GRL,1959,0.4330727000499084,0.019497587755781063,,0.0035833509055055446,0.000534259377976895,
GRL,1960,0.43665605095541393,0.020031847133757958,,0.004442428120449593,0.00048081707423375947,
GRL,1961,0.4410984790758635,0.020512664207991717,,0.0023989492856352213,0.0006776370410898382,
GRL,1962,0.44349742836149875,0.021190301249081556,,0.003177745323457992,0.0006160223011807443,
GRL,1963,0.44667517368495674,0.0218063235502623,,0.0038899140199389337,0.0003867093151291613,
GRL,1964,0.4505650877048957,0.02219303286539146,,0.004551608883973046,0.00016941301062500802,
GRL,1965,0.4551166965888687,0.02236244587601647,,0.004908279836444485,0.00024376764693382139,
GRL,1966,0.4600249764253132,0.02260621352295029,,-0.0051020091304268544,0.0008107459580925201,
GRL,1967,0.45492296729488635,0.02341695948104281,,-0.006113047583736209,0.0007172036620993819,
GRL,1968,0.44880991971115014,0.024134163143142193,,-0.005904459894754244,0.0008295991374183027,
GRL,1969,0.4429054598163959,0.024963762280560495,,-0.00575833076326171,0.0006103155128384455,
GRL,1970,0.4371471290531342,0.02557407779339894,3.175591949536834,-0.005741417741093435,0.0006190313373280951,0.09724606707127226
GRL,1971,0.43140571131204075,0.026193109130727036,3.272838016608106,-0.01027561596424531,0.0012380463480383477,0.0689355487043728
GRL,1972,0.42113009534779544,0.027431155478765384,3.341773565312479,-0.01187219674382789,0.0010772941905953792,0.1146350715339981
GRL,1973,0.40925789860396755,0.028508449669360763,3.456408636846477,-0.013243908248206648,0.0011072294630716344,0.07922797645041335
GRL,1974,0.3960139903557609,0.029615679132432397,3.5356366132968904,-0.01485916153613881,0.0008799774848389508,0.09355635657070493
GRL,1975,0.3811548288196221,0.030495656617271348,3.6291929698675953,-0.016692487162735636,0.0009908462764111406,0.056070001333762054
GRL,1976,0.36446234165688646,0.03148650289368249,3.6852629712013574,-0.01941371212549836,0.0009063915681774837,0.07167441722016488
GRL,1977,0.3450486295313881,0.03239289446185997,3.7569373884215223,-0.016278477157327997,0.0011575417541171834,0.1025321761607203
GRL,1978,0.3287701523740601,0.033550436215977156,3.8594695645822426,-0.01521372588426012,0.0009184613822541821,0.06896533815999017
GRL,1979,0.3135564264898,0.03446889759823134,3.9284349027422327,-0.013443994751926425,0.0007061746793144558,0.04851553769580086
GRL,1980,0.30011243173787355,0.035175072277545794,3.9769504404380336,-0.014511495471434266,0.0006490207143412322,-0.045284223982826166
GRL,1981,0.2856009362664393,0.035824092991887026,3.9316662164552074,-0.013434896755621095,0.0003353613825249971,-0.038812191404496765
GRL,1982,0.2721660395108182,0.03615945437441202,3.8928540250507107,-0.011450509251786978,0.00021720570999576166,0.009593705727247492
GRL,1983,0.2607155302590312,0.036376660084407784,3.902447730777958,-0.008381941888717548,-0.00018691257101834113,-0.04519318465502975
GRL,1984,0.25233358837031367,0.03618974751338944,3.8572545461229284,-0.005124325578254207,-0.00011321237182208149,0.03265386286426164
GRL,1985,0.24720926279205946,0.03607653514156736,3.88990840898719,-0.0021785030545925232,0.000255483033791179,0.16206685520318675
GRL,1986,0.24503075973746694,0.03633201817535854,4.051975264190377,0.0005062772995701181,3.835219501183845e-5,0.11101759122466248
GRL,1987,0.24553703703703705,0.03637037037037038,4.162992855415039,0.0025053608650737746,0.0001776481878809147,0.051796707461301494
GRL,1988,0.24804239790211083,0.036548018558251294,4.214789562876341,0.0037735387580184743,0.00033365500897468425,0.010874801978228987
GRL,1989,0.2518159366601293,0.03688167356722598,4.22566436485457,0.00400136497573389,0.0004606339174322016,0.03742534435707068
