행정구역,성별,연령별,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
서울특별시,남자,77세,7109,6924,6301,6244.5,6943,7854.5,8711,9171.5,9342,10456.5,11814.5,13097.5,15114.5,16601,17634.5,19119.5,21150.5,22221,23776.5,28425,28331,25276.5
서울특별시,남자,78세,6014.5,6573,6377.5,5838.5,5843,6519.5,7387,8164.5,8593,8800.5,9869.5,11119.5,12334.5,14309,15793.5,16741.5,18118,20099.5,21145.5,22762.5,27235.5,27046.5
서울특별시,남자,79세,4988,5454.5,6010.5,5895,5381.5,5407,6075,6885.5,7632.5,8045.5,8252,9287.5,10482,11648,13502,14897,15818,17178.5,19063,20113,21687.5,25901
서울특별시,남자,80세,4386,4500.5,4902.5,5431.5,5397.5,5017,5060,5652.5,6398,7138,7522,7676.5,8687,9851,10946,12648,13937.5,14853.5,16196.5,18029.5,19040.5,20512.5
서울특별시,남자,81세,3646,3960,4064,4462.5,5011.5,4986.5,4606.5,4681,5232,5912,6616.5,6953,7073,8056,9173.5,10169.5,11752,13012.5,13929,15248.5,16983,17866
서울특별시,남자,82세,3028.5,3266.5,3510,3626.5,4046.5,4578,4549,4195.5,4281.5,4804.5,5447,6098.5,6402,6517.5,7450.5,8513.5,9436.5,10941,12087,12946.5,14264,15861
서울특별시,남자,83세,2515.5,2678.5,2890,3149,3302,3689,4151.5,4102.5,3777.5,3868.5,4361,4951,5581,5879.5,5984.5,6850,7820.5,8689.5,10061.5,11139.5,12018.5,13247
서울특별시,남자,84세,1931,2197,2322.5,2522,2806,2966.5,3315,3737.5,3709.5,3425,3499.5,3938,4465,5064.5,5366,5493,6277.5,7154,7937.5,9237,10251.5,11024.5
서울특별시,남자,85세,1588,1681,1883,2014,2232,2499.5,2648.5,2937,3300.5,3290,3047,3103,3511.5,4006.5,4562.5,4841.5,4950,5672,6458.5,7185,8400.5,9329.5
서울특별시,남자,86세,1327,1368.5,1433.5,1607,1737.5,1939.5,2195.5,2320,2545.5,2891,2882,2645,2718.5,3145,3612.5,4063,4283,4407,5103,5833,6473,7554
서울특별시,남자,87세,1116.5,1115,1151,1207.5,1354,1485,1668.5,1891,2015,2223.5,2533.5,2520,2312.5,2362,2746.5,3176,3583,3818,3908,4509.5,5198.5,5776
서울특별시,남자,88세,959.5,939.5,935,976.5,1018,1138,1261,1407,1601,1728.5,1909,2200.5,2191.5,1980.5,2024.5,2377,2765,3134.5,3324.5,3415,3975,4579.5
서울특별시,남자,89세,792,780,783.5,804.5,838,851.5,964,1068,1185.5,1383,1474,1609.5,1884.5,1882.5,1690.5,1727.5,2025.5,2367.5,2707.5,2873.5,2946,3427.5
서울특별시,남자,90세,671.5,649,636.5,635.5,657.5,672,692,795.5,869,978.5,1158,1238,1351.5,1581.5,1587.5,1411,1434,1705.5,1987.5,2281,2442,2493
서울특별시,남자,91세,436,535.5,519.5,502,507,530,555,575,661,727,809,941,1002,1103,1314.5,1318.5,1158,1179.5,1400.5,1678.5,1957.5,2070
